,name,workshop_date,position,text_length,num_upvotes,talker,quarter
436,policyglot,2020-01-09,45,34,7,Boudourides,W
437,MegicLF,2020-01-09,46,52,1,Boudourides,W
438,bakerwho,2020-01-09,47,67,12,Boudourides,W
439,hesongrun,2020-01-09,48,9,2,Boudourides,W
440,keertanavc,2020-01-09,49,27,1,Boudourides,W
441,JuneZzj,2020-01-09,50,22,0,Boudourides,W
442,luxin-tian,2020-01-09,51,28,3,Boudourides,W
443,wu-yt,2020-01-09,52,16,0,Boudourides,W
444,caibengbu,2020-01-09,53,26,1,Boudourides,W
445,fulinguo,2020-01-09,54,24,2,Boudourides,W
446,tonofshell,2020-01-09,55,20,5,Boudourides,W
447,lyl010,2020-01-09,56,48,4,Boudourides,W
448,Anqi-Zhou,2020-01-09,57,16,0,Boudourides,W
449,sanittawan,2020-01-09,58,34,1,Boudourides,W
450,bazirou,2020-01-09,59,16,2,Boudourides,W
451,policyglot,2020-01-16,0,108,54,Parigi,W
452,rkcatipon,2020-01-16,1,89,55,Parigi,W
453,wanitchayap,2020-01-16,2,33,44,Parigi,W
454,nwrim,2020-01-16,3,75,53,Parigi,W
455,liu431,2020-01-16,4,41,50,Parigi,W
456,anqi-hu,2020-01-16,5,28,28,Parigi,W
457,zeyuxu1997,2020-01-16,6,35,15,Parigi,W
458,WMhYang,2020-01-16,7,72,32,Parigi,W
459,hihowme,2020-01-16,8,44,11,Parigi,W
460,ydeng117,2020-01-16,9,42,11,Parigi,W
461,anuraag94,2020-01-16,10,51,16,Parigi,W
462,lulululugagaga,2020-01-16,11,22,12,Parigi,W
463,mingtao-gao,2020-01-16,12,56,7,Parigi,W
464,Yilun0221,2020-01-16,13,22,10,Parigi,W
465,timqzhang,2020-01-16,14,22,8,Parigi,W
466,vinsonyz,2020-01-16,15,24,7,Parigi,W
467,RuoyunTan,2020-01-16,16,63,12,Parigi,W
468,adarshmathew,2020-01-16,17,25,36,Parigi,W
469,yongfeilu,2020-01-16,18,29,5,Parigi,W
470,lyl010,2020-01-16,19,36,6,Parigi,W
471,jsgenan,2020-01-16,20,60,5,Parigi,W
472,chun-hu,2020-01-16,21,45,7,Parigi,W
473,KenChenCompEcon,2020-01-16,22,34,4,Parigi,W
474,di-Tong,2020-01-16,23,41,5,Parigi,W
475,PAHADRIANUS,2020-01-16,24,149,10,Parigi,W
476,nt546,2020-01-16,25,29,0,Parigi,W
477,skanthan95,2020-01-16,26,50,4,Parigi,W
478,SoyBison,2020-01-16,27,15,5,Parigi,W
479,TianxinZheng,2020-01-16,28,17,2,Parigi,W
480,linghui-wu,2020-01-16,29,61,5,Parigi,W
481,Leahjl,2020-01-16,30,24,0,Parigi,W
482,bjcliang-uchi,2020-01-16,31,13,1,Parigi,W
483,YanjieZhou,2020-01-16,32,20,0,Parigi,W
484,YuxinNg,2020-01-16,33,29,1,Parigi,W
485,goldengua,2020-01-16,34,27,1,Parigi,W
486,hanjiaxu,2020-01-16,35,25,0,Parigi,W
